id,en,fr
justshy,SHE’S PROBABLY JUST SHY:Suzie won’t let you enter her room or talk to you. Maybe someone knows how to get on her good side?,
tiptongue,TIP OF MY TONGUE:There’s something stuck inside the wolf’s throat. It looks uncomfortable. Maybe someone has some medicine?,
honey,A FIRKIN OF WITCH’S HONEYBREW:For a big ol’ gal with a painfully sore throat.,
secretknock,"A SECRET HANDSHAKE:Mithra told you to knock 5 times on Gertrude’s door to get her to open it. And if she still won’t, just keep knocking until she does.",
tod-none,"TIME OF DEATH: Unknown. ""Oh, we found her sometime this morning!"". Yeah, real useful.",
tod-any,TIME OF DEATH: any,
tod-beforemorning,TIME OF DEATH:Before morning. She was already dead before breakfast.,
tod-afternight,TIME OF DEATH:After nightfall. Other witches have seen her around before she went to bed.,
tod-final,"TIME OF DEATH:At the strike of dawn. Alive during the night, dead before the sun was fully up.",
mingling,"MULTIMAGICAL MINGLING:Suzie and Vicky were more than just good friends. Roomates, maybe.",
siesta,SHIITAKE SIESTA:Vicky was having trouble sleeping well. Suzie asked Gertrude for a fungal fix to this issue.,
fungalcake,"FUNGUS CAKE:A mushroomy confection found in Vicky’s room. It looks so sweet, you get queasy just looking at it too long.",
tornphoto,TRAGICALLY TORN PHOTO:A once-happy photo featuring Vicky with Suzie. It’s been ominously torn down the middle.,
alarmclock,SUSPICIOUSLY NON-SUSPICIOUS ALARM CLOCK:It’s almost… too normal. What manner of secrets does it hold?,
intactmushroom,"INSULTINGLY INTACT MUSHROOM:The missing mushroom. Colorful, grotesque, and frustratingly un-eaten.",
vickyskey,VICKY’S ROOM KEY:Each witch only has the key to their respective rooms.,
depart,"DETERMINED TO DEPART:Vicky wanted to leave. To be anywhere else, and live life under any other sky.",
mundane,A MURDER MOST MUNDANE:No magic was used in the murdering of this witch.,
motive-bigbadwolf,"A BIG, BAD WOLF:...why exactly was the key to Vicky’s room found stuck in the wolf’s throat? Temmie says it’s a coincidence, that he just found it laying around. An almost insulting explanation.",
motive-champignon,CHAMPIGNON CONFUSION:What if Vicky’s death was manslaughter? A tragic stroke of bad luck and absent-mindedness on Gertrude’s part could explain her untimely demise.,
motive-spurned,"SIMPLY, A SPURNED LOVER:A time-honored tradition. Vicky’s murder was a crime of passion, the poor girl killed in a fit of overpowering jealousy.",
motive-accident,"A SEVERE AND PUNCTUAL LAPSE IN JUDGMENT:What a tragic twist! An accident?! Sleepy Vicky simply stumbled out of her room at the wrong time of night, when it sits dangerously far above the hallway.",
alarmclock-fixed,APPROPRIATELY SUSPICIOUS ALARM CLOCK:Why was it displaying a time an hour earlier than it should?,
,,
met-edgy-witch,,
met-time-witch,,
met-housekeeper,,
met-emo-witch,,
met-monster-witch,,
met-kitchen-witch,,
met-wolf-witch,,